datetime,R5,R4,R3,Pivot,S3,S4,S5,open,high,low,close,dayVolume
15-12-2021 12:12,356.3407362,350.8325,347.49125,347.4333333,340.80875,337.4675,331.9592638,340.1,347.4,332,339.15,111991
16-12-2021 12:12,354.8816566,347.62,343.385,339.5166667,334.915,330.68,323.4183434,338,344.6,326,328.55,124148
17-12-2021 12:12,347.2954908,338.78,333.665,333.05,323.435,318.32,309.8045092,326.2,331.55,312.15,312.15,203630
20-12-2021 12:12,331.55,322.82,317.485,318.6166667,306.815,301.48,292.75,310,310,296.55,296.55,68251
21-12-2021 12:12,310,303.9475,300.24875,301.0333333,292.85125,289.1525,283.1,298,311.3,297,304.35,144029
22-12-2021 12:12,319.0038889,312.215,308.2825,304.2166667,300.4175,296.485,289.6961111,310,317,308,311.2,68443
23-12-2021 12:12,320.2935065,316.15,313.675,312.0666667,308.725,306.25,302.1064935,317,317.95,300.15,305.1,66371
24-12-2021 12:12,323.1935532,314.89,309.995,307.7333333,300.205,295.31,287.0064468,306,307.75,296,300.95,67478
27-12-2021 12:12,312.8964949,307.4125,304.18125,301.5666667,297.71875,294.4875,289.0035051,302,314.75,295.5,307.15,65438
28-12-2021 12:12,327.1589255,317.7375,312.44375,305.8,301.85625,296.5625,287.1410745,320,320,307,309.1,43404
29-12-2021 12:12,322.1889251,316.25,312.675,312.0333333,305.525,301.95,296.0110749,309.9,324.55,303,318.95,149232
30-12-2021 12:12,341.6343977,330.8025,324.87625,315.5,313.02375,307.0975,296.2656023,321,322.7,310.1,314.95,37540
31-12-2021 12:12,327.7470655,321.88,318.415,315.9166667,311.485,308.02,302.1529345,324,324,313.5,315.85,43435
03-01-2022 12:01,326.4287081,321.625,318.7375,317.7833333,312.9625,310.075,305.2712919,318,323.9,309.95,311.25,31476
04-01-2022 12:01,325.2585094,318.9225,315.08625,315.0333333,307.41375,303.5775,297.2414906,319.35,319.35,304.05,309.65,64762
05-01-2022 12:01,325.2317958,318.065,313.8575,311.0166667,305.4425,301.235,294.0682042,314.4,314.4,303,309.6,97048
06-01-2022 12:01,321.2483168,315.87,312.735,309,306.465,303.33,297.9516832,314.75,314.75,305.45,308.55,39080
07-01-2022 12:01,317.9443853,313.665,311.1075,309.5833333,305.9925,303.435,299.1556147,309.95,310.9,301.85,303.55,56422
10-01-2022 12:01,312.650969,308.5275,306.03875,305.4333333,301.06125,298.5725,294.449031,310,313.7,301.25,304.85,140721
